title,availability,price,category,shop,weight
Медицинский стеллаж СТМ MS 160KD/70х30/4,1,3 610 руб.,Медицинская мебель,Железная мебель,['11.4']
Аптечка «Железная мебель»,1,1 200 руб.,Медицинская мебель,Железная мебель,[]
Рециркулятор бактерицидный настольный МСК-3918,1,2 350 руб.,Медицинская мебель,Железная мебель,['5']
Аптечка AMD-39,1,2 350 руб.,Медицинская мебель,Железная мебель,['2.5']
Рециркулятор RUV-1004 START,1,4 170 руб.,Медицинская мебель,Железная мебель,['1.1']
Шкаф медицинский HILFE МД 2 1670/SS,1,13 350 руб.,Медицинская мебель,Железная мебель,['33.3']
Шкаф медицинский HILFE МД 2 1780 R-1,1,24 310 руб.,Медицинская мебель,Железная мебель,['49.3']
Медицинский стеллаж СТМ MS 200KD/100х50/4,1,5 560 руб.,Медицинская мебель,Железная мебель,['19.9']
Медицинский стеллаж СТМ MS 200/100х40/6,1,6 370 руб.,Медицинская мебель,Железная мебель,['21']
Шкаф медицинский HILFE МД 1 1657/SG,1,12 630 руб.,Медицинская мебель,Железная мебель,['29.3']
Аптечка АМ - 1,1,1 760 руб.,Медицинская мебель,Железная мебель,['4']
Аптечка АУ-1,1,1 890 руб.,Медицинская мебель,Железная мебель,['4']
Шкаф медицинский М1 165.50.32 М,1,12 490 руб.,Медицинская мебель,Железная мебель,['24']
Аптечка AMD-39G,1,3 000 руб.,Медицинская мебель,Железная мебель,['3']
Шкаф медицинский HILFE МД 2 1670/SG,1,13 350 руб.,Медицинская мебель,Железная мебель,['35.5']
Аптечка ЕА,1,2 230 руб.,Медицинская мебель,Железная мебель,[]
Рециркулятор бактерицидный МСК-910,1,3 830 руб.,Медицинская мебель,Железная мебель,['6']
Шкаф медицинский HILFE МД 2 1780/SS,1,16 750 руб.,Медицинская мебель,Железная мебель,['41.5']
Шкаф медицинский МД 2 ШМ-SS,1,10 510 руб.,Медицинская мебель,Железная мебель,['29.2']
Шкаф медицинский HILFE МД 1 1650/SS,1,12 300 руб.,Медицинская мебель,Железная мебель,['24.9']
Шкаф медицинский HILFE МД 1 1650/SG,1,12 300 руб.,Медицинская мебель,Железная мебель,['26.6']
Шкаф медицинский МСК-2922.800 (ШМм-МСК),1,19 360 руб.,Медицинская мебель,Железная мебель,['42']
