title,description,size,availability,price
Сейф оружейный Aiko Чирок 1025,"
ВхШхГ, мм: 1000х200х250
Вес, кг: 13
",['1000х200х250'],Есть в наличии,6 380 руб.
Сейф Aiko T-140 KL,"
ВхШхГ, мм: 140х195х140
Вес, кг: 3
",['140х195х140'],Есть в наличии,2 470 руб.
Сейф Valberg КВАРЦИТ 65 МТ,"
ВхШхГ, мм: 655х440х430
Вес, кг: 140
",['655х440х430'],Есть в наличии,31 000 руб.
Сейф Aiko T-170 EL,"
ВхШхГ, мм: 170х260х230
Вес, кг: 3.7
",['170х260х230'],Есть в наличии,3 750 руб.
Сейф оружейный Aiko Чирок 1018 (Воробей),"
ВхШхГ, мм: 1000х263х183
Вес, кг: 9.1
",['1000х263х183'],Есть в наличии,5 230 руб.
Сейф оружейный Aiko Беркут 144,"
ВхШхГ, мм: 1400х430х280
Вес, кг: 45
",['1400х430х280'],Есть в наличии,19 440 руб.
Сейф Aiko TM-63T,"
ВхШхГ, мм: 630х440х355
Вес, кг: 29.8
",['630х440х355'],Есть в наличии,14 890 руб.
Сейф Valberg КАРАТ ASK 20,"
ВхШхГ, мм: 200х260х180
Вес, кг: 21
",['200х260х180'],Есть в наличии,17 660 руб.
Сейф Valberg FRS-30 KL,"
ВхШхГ, мм: 300х405х355
Вес, кг: 28
",['300х405х355'],Есть в наличии,14 810 руб.
Сейф Aiko T-17,"
ВхШхГ, мм: 171х260х230
Вес, кг: 4
",['171х260х230'],Есть в наличии,2 640 руб.
Сейф оружейный Aiko Чирок 1312,"
ВхШхГ, мм: 1330х200х120
Вес, кг: 11.1
",['1330х200х120'],Есть в наличии,5 550 руб.
Сейф Valberg ASM-63 T,"
ВхШхГ, мм: 630х440х355
Вес, кг: 38
",['630х440х355'],Есть в наличии,21 600 руб.
Сейф Aiko T-140 EL,"
ВхШхГ, мм: 140х195х140
Вес, кг: 2.3
",['140х195х140'],Есть в наличии,3 350 руб.
Сейф оружейный Aiko Чирок 1015 (КОЛИБРИ),"
ВхШхГ, мм: 1000х213х153
Вес, кг: 5.9
",['1000х213х153'],Есть в наличии,3 440 руб.
Сейф Aiko TM-120Т,"
ВхШхГ, мм: 1200х440х355
Вес, кг: 52
",['1200х440х355'],Есть в наличии,23 240 руб.
Сейф Valberg КАРАТ ASK 30 EL NEW,"
ВхШхГ, мм: 300х440х380
Вес, кг: 65
",['300х440х380'],Есть в наличии,35 470 руб.
Сейф VALBERG ГРАНИТ III-67 KL,"
ВхШхГ, мм: 670х510х510
Вес, кг: 224
",['670х510х510'],Есть в наличии,74 730 руб.
Сейф оружейный Aiko Чирок 1318,"
ВхШхГ, мм: 1300х263х183
Вес, кг: 11.3
",['1300х263х183'],Есть в наличии,5 640 руб.
Сейф Aiko T-170 KL,"
ВхШхГ, мм: 170х260х230
Вес, кг: 3.7
",['170х260х230'],Есть в наличии,2 640 руб.
Сейф ONIX NTL-40Ms,"
ВхШхГ, мм: 435х435х360
Вес, кг: 26
",['435х435х360'],Есть в наличии,23 610 руб.
Сейф оружейный Aiko Филин 1443,"
ВхШхГ, мм: 1450х380х350
Вес, кг: 64
",['1450х380х350'],Есть в наличии,31 520 руб.
Сейф Armwood 11 EL Lux,"
ВхШхГ, мм: 1790х780х405
Вес, кг: 180
",['1790х780х405'],Есть в наличии,597 090 руб.
Сейф Armwood-95 G Flock,"
ВхШхГ, мм: 1670х510х375
Вес, кг: 94
",['1670х510х375'],Есть в наличии,337 020 руб.
Сейф Aiko TM-46,"
ВхШхГ, мм: 460х440х355
Вес, кг: 21
",['460х440х355'],Есть в наличии,12 440 руб.
Сейф оружейный Valberg САФАРИ EL PRINT,"
ВхШхГ, мм: 1500х450х350
Вес, кг: 88
",['1500х450х350'],Есть в наличии,50 660 руб.
Сейф оружейный ASG/WS14,"
ВхШхГ, мм: 1650х847х450
Вес, кг: 341
",['1650х847х450'],Есть в наличии,254 490 руб.
Сейф мебельный Klesto RS30K,"
ВхШхГ, мм: 300х380х300
Вес, кг: 14
",['300х380х300'],Есть в наличии,13 130 руб.
Сейф встраиваемый ВШ-6,"
ВхШхГ, мм: 200х290х150
Вес, кг: 7
",['200х290х150'],Есть в наличии,7 390 руб.
Сейф Aiko SH-30.EL NEW,"
ВхШхГ, мм: 300х440х370
Вес, кг: 15
",['300х440х370'],Есть в наличии,11 980 руб.
Сейф ONIX LS-20K,"
ВхШхГ, мм: 200х310х200
Вес, кг: 5
",['200х310х200'],Есть в наличии,5 210 руб.
Сейф ОСП-36Т Мех+Кл,"
ВхШхГ, мм: 655х435х380
Вес, кг: 100
",['655х435х380'],Есть в наличии,58 820 руб.
Сейф оружейный Aiko Чирок 1462,"
ВхШхГ, мм: 1400х620х280
Вес, кг: 37.8
",['1400х620х280'],Есть в наличии,14 620 руб.
Сейф оружейный Aiko Беркут 2 EL,"
ВхШхГ, мм: 1330х250х250
Вес, кг: 24.5
",['1330х250х250'],Есть в наличии,11 900 руб.
Сейф оружейный ОШ-103,"
ВхШхГ, мм: 1960х1000х534
Вес, кг: 230
",['1960х1000х534'],Есть в наличии,96 560 руб.
Сейф ОСП-4932,"
ВхШхГ, мм: 320х490х290
Вес, кг: 30
",['320х490х290'],Есть в наличии,34 040 руб.
Сейф Valberg ASM-165T EL (графит),"
ВхШхГ, мм: 1650х600х460
Вес, кг: 157
",['1650х600х460'],Есть в наличии,80 730 руб.
Сейф Valberg КАРАТ ASK 67T EL,"
ВхШхГ, мм: 670х440х380
Вес, кг: 126
",['670х440х380'],Есть в наличии,53 430 руб.
Сейф BM-3101,"
ВхШхГ, мм: 1235х450х400
Вес, кг: 245
",['1235х450х400'],Есть в наличии,123 660 руб.
Сейф Armwood-73d32 EL Flock,"
ВхШхГ, мм: 1660х780х370
Вес, кг: 156
",['1660х780х370'],Есть в наличии,504 120 руб.
Сейф Armwood-95NP EL Flock,"
ВхШхГ, мм: 1640х390х350
Вес, кг: 93
",['1640х390х350'],Есть в наличии,357 680 руб.
Сейф офисный ШБМ-120/2,"
ВхШхГ, мм: 1200х440х365
Вес, кг: 67
",['1200х440х365'],Есть в наличии,28 910 руб.
Сейф взломостойкий СМ-300,"
ВхШхГ, мм: 300х440х400
Вес, кг: 66
",['300х440х400'],Есть в наличии,32 830 руб.
Сейф Valberg ФОРТ 99 KL,"
ВхШхГ, мм: 990х510х510
Вес, кг: 199
",['990х510х510'],Есть в наличии,134 240 руб.
Сейф взломостойкий СМ(3)-65Э,"
ВхШхГ, мм: 675х500х475
Вес, кг: 223
",['675х500х475'],Есть в наличии,81 370 руб.
Сейф ВМ 1001Т,"
ВхШхГ, мм: 455х450х400
Вес, кг: 115
",['455х450х400'],Есть в наличии,60 870 руб.
Сейф оружейный Rhino Metals K5933EX Kodiak®,"
ВхШхГ, мм: 1500х840х610
Вес, кг: 250
",['1500х840х610'],Есть в наличии,434 940 руб.
Сейф Armwood 11 EL Lux Plus,"
ВхШхГ, мм: 1790х780х405
Вес, кг: 180
",['1790х780х405'],Есть в наличии,641 090 руб.
Сейф Valberg КВАРЦИТ 120Т/2,"
ВхШхГ, мм: 1230х440х430
Вес, кг: 285
",['1230х440х430'],Есть в наличии,81 440 руб.
Сейф ONIX LS-30KT,"
ВхШхГ, мм: 300х380х300
Вес, кг: 12
",['300х380х300'],Есть в наличии,9 180 руб.
Сейф Armwood-44 EL Primary,"
ВхШхГ, мм: 1790х640х405
Вес, кг: 141
",['1790х640х405'],Есть в наличии,367 240 руб.
Сейф Valberg FRS-99.T-EL,"
ВхШхГ, мм: 991х565х451
Вес, кг: 145
",['991х565х451'],Есть в наличии,52 400 руб.
Сейф VALBERG ГРАНИТ III-1268 KL,"
ВхШхГ, мм: 1200х680х510
Вес, кг: 441
",['1200х680х510'],Есть в наличии,124 510 руб.
Сейф оружейный Liberty National Security Magnum 25CP2-BC,"
ВхШхГ, мм: 1540х765х710
Вес, кг: 449
",['1540х765х710'],Есть в наличии,3 038 060 руб.
Сейф оружейный Liberty National Security Magnum 25GY2-BC,"
ВхШхГ, мм: 1540х765х710
Вес, кг: 449
",['1540х765х710'],Есть в наличии,3 038 060 руб.
Сейф Armwood-95 G Primary,"
ВхШхГ, мм: 1670х510х375
Вес, кг: 94
",['1670х510х375'],Есть в наличии,277 310 руб.
